
______________________________________________________________________________________________________________
| Lần lặp |        Nghiệm x         |             f(x)             |     Đầu mút a      |     Đầu mút b      |
______________________________________________________________________________________________________________
|    1    |           2.5           |           -0.08371           |        2.5         |        3.0         |
|    2    |          2.75           |            0.0116            |        2.5         |        2.75        |
|    3    |          2.625          |           -0.03492           |       2.625        |        2.75        |
|    4    |         2.6875          |           -0.01139           |       2.6875       |        2.75        |
|    5    |         2.71875         |           0.00017            |       2.6875       |      2.71875       |
|    6    |         2.70312         |           -0.00559           |      2.70312       |      2.71875       |
|    7    |         2.71094         |           -0.00271           |      2.71094       |      2.71875       |
|    8    |         2.71484         |           -0.00127           |      2.71484       |      2.71875       |
|    9    |         2.7168          |           -0.00055           |       2.7168       |      2.71875       |
|   10    |         2.71777         |           -0.00019           |      2.71777       |      2.71875       |
|   11    |         2.71826         |            -1e-05            |      2.71826       |      2.71875       |
|   12    |         2.71851         |            8e-05             |      2.71826       |      2.71851       |
|   13    |         2.71838         |            4e-05             |      2.71826       |      2.71838       |
|   14    |         2.71832         |            2e-05             |      2.71826       |      2.71832       |
|   15    |         2.71829         |             0.0              |      2.71826       |      2.71829       |
|   16    |         2.71828         |             -0.0             |      2.71828       |      2.71829       |
|   17    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   18    |         2.71828         |             -0.0             |      2.71828       |      2.71828       |
|   19    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   20    |         2.71828         |             -0.0             |      2.71828       |      2.71828       |
|   21    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   22    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   23    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   24    |         2.71828         |             -0.0             |      2.71828       |      2.71828       |
|   25    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   26    |         2.71828         |             -0.0             |      2.71828       |      2.71828       |
|   27    |         2.71828         |             -0.0             |      2.71828       |      2.71828       |
|   28    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   29    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
|   30    |         2.71828         |             0.0              |      2.71828       |      2.71828       |
______________________________________________________________________________________________________________
Nghiệm gần đúng của phương trình là: 2.7182818287983537
